NAME	DESCRIPTION	GENE_SYMBOL	GENE_TITLE	SCORE	
ARAP1	ARAP1	null	null	0.9186758	
SHE	SHE	SHE	Src homology 2 domain containing E	0.91736764	
EGFL7	EGFL7	EGFL7	EGF-like-domain, multiple 7	0.91337353	
GMFG	GMFG	GMFG	glia maturation factor, gamma	0.9064903	
ZFPM1	ZFPM1	ZFPM1	zinc finger protein, multitype 1	0.9061177	
FOS	FOS	FOS	v-fos FBJ murine osteosarcoma viral oncogene homolog	0.9053885	
SOX18	SOX18	SOX18	SRY (sex determining region Y)-box 18	0.898927	
KCNK6	KCNK6	KCNK6	potassium channel, subfamily K, member 6	0.8971332	
C14orf159	C14orf159	C14ORF159	chromosome 14 open reading frame 159	0.8945522	
TPPP3	TPPP3	null	null	0.894456	
HHIPL1	HHIPL1	null	null	0.89245766	
PAPLN	PAPLN	PAPLN	papilin, proteoglycan-like sulfated glycoprotein	0.89000684	
ERG	ERG	ERG	v-ets erythroblastosis virus E26 oncogene homolog (avian)	0.8893034	
GSN	GSN	GSN	gelsolin (amyloidosis, Finnish type)	0.8814891	
PPARG	PPARG	PPARG	peroxisome proliferative activated receptor, gamma	0.8807034	
KIAA1551	KIAA1551	null	null	0.87342817	
CAMK1D	CAMK1D	CAMK1D	calcium/calmodulin-dependent protein kinase ID	0.86948967	
GPR146	GPR146	GPR146	G protein-coupled receptor 146	0.86715466	
RP11-389C8.2	RP11-389C8.2	null	null	0.86329055	
CRIP1	CRIP1	CRIP1	cysteine-rich protein 1 (intestinal)	0.8626736	
ADRA2A	ADRA2A	ADRA2A	adrenergic, alpha-2A-, receptor	0.8581329	
KLF2	KLF2	KLF2	Kruppel-like factor 2 (lung)	0.85767543	
TMEM91	TMEM91	TMEM91	transmembrane protein 91	0.85732496	
CCDC28B	CCDC28B	CCDC28B	coiled-coil domain containing 28B	0.8512453	
CLEC2B	CLEC2B	CLEC2B	C-type lectin domain family 2, member B	0.8496416	
FABP5	FABP5	FABP5	fatty acid binding protein 5 (psoriasis-associated)	0.84643704	
SCARF1	SCARF1	SCARF1	scavenger receptor class F, member 1	0.84606975	
C1orf54	C1orf54	C1ORF54	chromosome 1 open reading frame 54	0.8453546	
BMP2K	BMP2K	BMP2K	BMP2 inducible kinase	0.8438376	
ACTA2	ACTA2	ACTA2	actin, alpha 2, smooth muscle, aorta	0.84231156	
PODN	PODN	PODN	podocan	0.84190494	
FLT4	FLT4	FLT4	fms-related tyrosine kinase 4	0.8392525	
SMOC2	SMOC2	SMOC2	SPARC related modular calcium binding 2	0.83893967	
PCOLCE2	PCOLCE2	PCOLCE2	procollagen C-endopeptidase enhancer 2	0.83856213	
LGI2	LGI2	LGI2	leucine-rich repeat LGI family, member 2	0.83437634	
RASGEF1B	RASGEF1B	RASGEF1B	RasGEF domain family, member 1B	0.83419	
CFD	CFD	CFD	complement factor D (adipsin)	0.8331959	
KLF8	KLF8	KLF8	Kruppel-like factor 8	0.8307041	
PPM1K	PPM1K	PPM1K	protein phosphatase 1K (PP2C domain containing)	0.8289719	
RP11-326I11.3	RP11-326I11.3	null	null	0.826446	
FBXW7	FBXW7	FBXW7	F-box and WD-40 domain protein 7 (archipelago homolog, Drosophila)	0.82622486	
RAB4B	RAB4B	RAB4B	RAB4B, member RAS oncogene family	0.8219384	
EGR2	EGR2	EGR2	early growth response 2 (Krox-20 homolog, Drosophila)	0.8193239	
NOSTRIN	NOSTRIN	NOSTRIN	nitric oxide synthase trafficker	0.81925195	
FLI1	FLI1	FLI1	Friend leukemia virus integration 1	0.819007	
SH2D3C	SH2D3C	SH2D3C	SH2 domain containing 3C	0.81814814	
TENC1	TENC1	TENC1	tensin like C1 domain containing phosphatase (tensin 2)	0.81602013	
RP11-244H3.1	RP11-244H3.1	null	null	0.8135078	
GLCCI1	GLCCI1	GLCCI1	glucocorticoid induced transcript 1	0.8117777	
ACSF3	ACSF3	null	null	0.8102637	
VMAC	VMAC	VMAC	-	0.80913347	
CILP	CILP	CILP	cartilage intermediate layer protein, nucleotide pyrophosphohydrolase	0.8040209	
TMCO4	TMCO4	TMCO4	transmembrane and coiled-coil domains 4	0.80318695	
ARHGDIB	ARHGDIB	ARHGDIB	Rho GDP dissociation inhibitor (GDI) beta	0.80181956	
CPNE5	CPNE5	CPNE5	copine V	0.80105215	
MYCT1	MYCT1	MYCT1	myc target 1	0.79835343	
MYO15B	MYO15B	MYO15B	myosin XVB pseudogene	0.79767	
PIK3IP1	PIK3IP1	null	null	0.79558355	
ZNF467	ZNF467	ZNF467	zinc finger protein 467	0.79454803	
TMEM175	TMEM175	TMEM175	transmembrane protein 175	0.79427284	
DDX26B	DDX26B	DDX26B	DEAD/H (Asp-Glu-Ala-Asp/His) box polypeptide 26B	0.79199874	
ZNF101	ZNF101	ZNF101	zinc finger protein 101	0.7910792	
SORL1	SORL1	SORL1	sortilin-related receptor, L(DLR class) A repeats-containing	0.79019237	
NFKBID	NFKBID	null	null	0.7895216	
CLIC2	CLIC2	CLIC2	chloride intracellular channel 2	0.78686416	
SERPINF2	SERPINF2	SERPINF2	serpin peptidase inhibitor, clade F (alpha-2 antiplasmin, pigment epithelium derived factor), member 2	0.7857478	
LPAR6	LPAR6	null	null	0.78388155	
ALDH2	ALDH2	ALDH2	aldehyde dehydrogenase 2 family (mitochondrial)	0.7819509	
GUCY1A3	GUCY1A3	GUCY1A3	guanylate cyclase 1, soluble, alpha 3	0.77959204	
MGAT4A	MGAT4A	MGAT4A	mannosyl (alpha-1,3-)-glycoprotein beta-1,4-N-acetylglucosaminyltransferase, isozyme A	0.7770781	
ZDHHC24	ZDHHC24	ZDHHC24	zinc finger, DHHC-type containing 24	0.7768881	
IL3RA	IL3RA	IL3RA	interleukin 3 receptor, alpha (low affinity)	0.77688164	
TNFRSF11A	TNFRSF11A	TNFRSF11A	tumor necrosis factor receptor superfamily, member 11a, NFKB activator	0.77641094	
COL8A2	COL8A2	COL8A2	collagen, type VIII, alpha 2	0.7742077	
LSP1	LSP1	LSP1	lymphocyte-specific protein 1	0.7724088	
RP11-296O14.3	RP11-296O14.3	null	null	0.7720593	
NPL	NPL	NPL	N-acetylneuraminate pyruvate lyase (dihydrodipicolinate synthase)	0.7713581	
DUS2	DUS2	null	null	0.76940674	
FRY	FRY	FRY	furry homolog (Drosophila)	0.76758784	
CLDN5	CLDN5	CLDN5	claudin 5 (transmembrane protein deleted in velocardiofacial syndrome)	0.7675311	
NUP214	NUP214	NUP214	nucleoporin 214kDa	0.76708895	
PIWIL4	PIWIL4	PIWIL4	piwi-like 4 (Drosophila)	0.76680845	
UCP2	UCP2	UCP2	uncoupling protein 2 (mitochondrial, proton carrier)	0.7664035	
RNASEK-C17orf49	RNASEK-C17orf49	null	null	0.76324135	
RP11-572C15.6	RP11-572C15.6	null	null	0.76240706	
HSPB8	HSPB8	HSPB8	heat shock 22kDa protein 8	0.76092225	
VPS13D	VPS13D	VPS13D	vacuolar protein sorting 13 homolog D (S. cerevisiae)	0.75955194	
VWF	VWF	VWF	von Willebrand factor	0.7587383	
FAM98C	FAM98C	FAM98C	family with sequence similarity 98, member C	0.75785387	
EFCAB13	EFCAB13	null	null	0.756259	
MAP3K6	MAP3K6	MAP3K6	mitogen-activated protein kinase kinase kinase 6	0.75541383	
FRAT1	FRAT1	FRAT1	frequently rearranged in advanced T-cell lymphomas	0.7553073	
ANGPT2	ANGPT2	ANGPT2	angiopoietin 2	0.75499576	
NHLRC4	NHLRC4	null	null	0.7545224	
RBL2	RBL2	RBL2	retinoblastoma-like 2 (p130)	0.75407755	
CCDC3	CCDC3	CCDC3	coiled-coil domain containing 3	0.7528535	
MMRN2	MMRN2	MMRN2	multimerin 2	0.7527502	
RAB33A	RAB33A	RAB33A	RAB33A, member RAS oncogene family	0.75239676	
TIE1	TIE1	TIE1	tyrosine kinase with immunoglobulin-like and EGF-like domains 1	0.75138605	
RP11-553L6.5	RP11-553L6.5	null	null	0.7507558	
FBXL15	FBXL15	FBXL15	F-box and leucine-rich repeat protein 15	0.7506728	
IDNK	IDNK	null	null	0.7503543	
PDLIM1	PDLIM1	PDLIM1	PDZ and LIM domain 1 (elfin)	0.75005007	
ICAM2	ICAM2	ICAM2	intercellular adhesion molecule 2	0.74803615	
CMAHP	CMAHP	null	null	0.74659485	
SMAP2	SMAP2	null	null	0.7454151	
AC007881.4	AC007881.4	null	null	0.74373907	
PINLYP	PINLYP	null	null	0.7435295	
CASP10	CASP10	CASP10	caspase 10, apoptosis-related cysteine peptidase	0.742673	
P2RX5-TAX1BP3	P2RX5-TAX1BP3	null	null	0.74049276	
ERMARD	ERMARD	null	null	0.7392164	
NRARP	NRARP	null	null	0.7383633	
RGL1	RGL1	RGL1	ral guanine nucleotide dissociation stimulator-like 1	0.7382807	
GPIHBP1	GPIHBP1	null	null	0.7368049	
CTD-2267D19.3	CTD-2267D19.3	null	null	0.7360475	
RASA4B	RASA4B	null	null	0.73267645	
CROCC	CROCC	CROCC	ciliary rootlet coiled-coil, rootletin	0.73260385	
LDB2	LDB2	LDB2	LIM domain binding 2	0.7324079	
MFNG	MFNG	MFNG	manic fringe homolog (Drosophila)	0.73131144	
TAPSAR1	TAPSAR1	null	null	0.73013324	
GSDMD	GSDMD	null	null	0.72910845	
APOBR	APOBR	null	null	0.7287092	
KLHL36	KLHL36	null	null	0.7281853	
TLDC2	TLDC2	null	null	0.72770554	
FOXS1	FOXS1	null	null	0.72753876	
SPINT1	SPINT1	SPINT1	serine peptidase inhibitor, Kunitz type 1	0.7255482	
LBH	LBH	LBH	-	0.7252387	
BCL6B	BCL6B	BCL6B	B-cell CLL/lymphoma 6, member B (zinc finger protein)	0.72493285	
VWFP1	VWFP1	null	null	0.7248007	
PARVG	PARVG	PARVG	parvin, gamma	0.7244652	
CCDC88B	CCDC88B	null	null	0.7240819	
POLD4	POLD4	POLD4	polymerase (DNA-directed), delta 4	0.7240133	
RAI2	RAI2	RAI2	retinoic acid induced 2	0.72357666	
RASGRP3	RASGRP3	RASGRP3	RAS guanyl releasing protein 3 (calcium and DAG-regulated)	0.72305596	
RP11-137L10.6	RP11-137L10.6	null	null	0.7220946	
ATG16L2	ATG16L2	ATG16L2	ATG16 autophagy related 16-like 2 (S. cerevisiae)	0.721231	
CTA-963H5.5	CTA-963H5.5	null	null	0.7152886	
PSMB10	PSMB10	PSMB10	proteasome (prosome, macropain) subunit, beta type, 10	0.71441096	
CD52	CD52	CD52	CD52 molecule	0.7139736	
OLFML1	OLFML1	OLFML1	olfactomedin-like 1	0.71349937	
RP4-781K5.2	RP4-781K5.2	null	null	0.7133987	
TMEM119	TMEM119	TMEM119	transmembrane protein 119	0.7128275	
GMIP	GMIP	GMIP	GEM interacting protein	0.71252006	
CCDC109B	CCDC109B	CCDC109B	coiled-coil domain containing 109B	0.7119176	
NINJ2	NINJ2	NINJ2	ninjurin 2	0.71146727	
CPM	CPM	CPM	carboxypeptidase M	0.71136886	
RASA4	RASA4	RASA4	RAS p21 protein activator 4	0.7103759	
TFEB	TFEB	TFEB	transcription factor EB	0.7082403	
LMO2	LMO2	LMO2	LIM domain only 2 (rhombotin-like 1)	0.70783114	
MLKL	MLKL	MLKL	mixed lineage kinase domain-like	0.7076969	
AC104698.1	AC104698.1	null	null	0.70719236	
TMC6	TMC6	TMC6	transmembrane channel-like 6	0.70587367	
C1QTNF5	C1QTNF5	C1QTNF5	C1q and tumor necrosis factor related protein 5	0.7039664	
GJA4	GJA4	GJA4	gap junction protein, alpha 4, 37kDa (connexin 37)	0.70261484	
PIK3R5	PIK3R5	PIK3R5	phosphoinositide-3-kinase, regulatory subunit 5, p101	0.7020984	
SHKBP1	SHKBP1	SHKBP1	SH3KBP1 binding protein 1	0.7009608	
KLHL6	KLHL6	KLHL6	kelch-like 6 (Drosophila)	0.70090705	
HMHA1	HMHA1	HMHA1	histocompatibility (minor) HA-1	0.70089346	
KDR	KDR	KDR	kinase insert domain receptor (a type III receptor tyrosine kinase)	0.7008468	
TRPM2	TRPM2	TRPM2	transient receptor potential cation channel, subfamily M, member 2	0.7007301	
RASL11A	RASL11A	RASL11A	RAS-like, family 11, member A	0.7004623	
PTPRN2	PTPRN2	PTPRN2	protein tyrosine phosphatase, receptor type, N polypeptide 2	0.69981474	
ARHGAP24	ARHGAP24	ARHGAP24	Rho GTPase activating protein 24	0.69909364	
LINC00987	LINC00987	null	null	0.6990761	
CTD-3232M19.2	CTD-3232M19.2	null	null	0.69710773	
RNF166	RNF166	RNF166	ring finger protein 166	0.6960331	
ZNF513	ZNF513	ZNF513	zinc finger protein 513	0.6956062	
PPP1R12B	PPP1R12B	PPP1R12B	protein phosphatase 1, regulatory (inhibitor) subunit 12B	0.69560224	
BCAM	BCAM	BCAM	basal cell adhesion molecule (Lutheran blood group)	0.69516253	
HCLS1	HCLS1	HCLS1	hematopoietic cell-specific Lyn substrate 1	0.69283086	
CARF	CARF	CARF	-	0.69231445	
ALDH16A1	ALDH16A1	ALDH16A1	aldehyde dehydrogenase 16 family, member A1	0.6912934	
AC008738.1	AC008738.1	null	null	0.69002527	
RP11-141O15.1	RP11-141O15.1	null	null	0.68998456	
S1PR1	S1PR1	null	null	0.68960685	
TNFAIP2	TNFAIP2	TNFAIP2	tumor necrosis factor, alpha-induced protein 2	0.68904203	
TMEM204	TMEM204	null	null	0.6884881	
RP11-582J16.4	RP11-582J16.4	null	null	0.6872416	
APOC1	APOC1	APOC1	apolipoprotein C-I	0.6870233	
COTL1	COTL1	COTL1	coactosin-like 1 (Dictyostelium)	0.68650675	
OGFRL1	OGFRL1	OGFRL1	opioid growth factor receptor-like 1	0.6863701	
VNN1	VNN1	VNN1	vanin 1	0.6862284	
KLHL22	KLHL22	KLHL22	kelch-like 22 (Drosophila)	0.68598986	
MAP10	MAP10	null	null	0.68553936	
LY86	LY86	LY86	lymphocyte antigen 86	0.68458146	
EGLN2	EGLN2	EGLN2	egl nine homolog 2 (C. elegans)	0.6831978	
RP5-894A10.6	RP5-894A10.6	null	null	0.68277127	
KCNC3	KCNC3	KCNC3	potassium voltage-gated channel, Shaw-related subfamily, member 3	0.6824384	
PAOX	PAOX	PAOX	polyamine oxidase (exo-N4-amino)	0.6822997	
RPS6KA1	RPS6KA1	RPS6KA1	ribosomal protein S6 kinase, 90kDa, polypeptide 1	0.68205583	
RCSD1	RCSD1	RCSD1	RCSD domain containing 1	0.68139815	
PCSK7	PCSK7	PCSK7	proprotein convertase subtilisin/kexin type 7	0.6811671	
BCAS4	BCAS4	BCAS4	breast carcinoma amplified sequence 4	0.6807656	
RP11-109L13.1	RP11-109L13.1	null	null	0.67985666	
LEPR	LEPR	LEPR	leptin receptor	0.6798492	
SFMBT2	SFMBT2	SFMBT2	Scm-like with four mbt domains 2	0.6797647	
DEF6	DEF6	DEF6	differentially expressed in FDCP 6 homolog (mouse)	0.6790584	
RASL12	RASL12	RASL12	RAS-like, family 12	0.67875856	
AOC3	AOC3	AOC3	amine oxidase, copper containing 3 (vascular adhesion protein 1)	0.67755324	
C10orf10	C10orf10	C10ORF10	chromosome 10 open reading frame 10	0.6773233	
NIPAL2	NIPAL2	null	null	0.6772585	
IL34	IL34	null	null	0.6769141	
LCP1	LCP1	LCP1	lymphocyte cytosolic protein 1 (L-plastin)	0.67596155	
CCS	CCS	CCS	copper chaperone for superoxide dismutase	0.67595273	
CCDC159	CCDC159	null	null	0.6754977	
FUCA1	FUCA1	FUCA1	fucosidase, alpha-L- 1, tissue	0.67494047	
WDFY4	WDFY4	WDFY4	WDFY family member 4	0.674818	
TRAPPC12	TRAPPC12	null	null	0.6746789	
FZD4	FZD4	FZD4	frizzled homolog 4 (Drosophila)	0.6746605	
RGS19	RGS19	RGS19	regulator of G-protein signalling 19	0.67443985	
PLCB2	PLCB2	PLCB2	phospholipase C, beta 2	0.6736879	
GIMAP1	GIMAP1	GIMAP1	GTPase, IMAP family member 1	0.67365754	
LIMS2	LIMS2	LIMS2	LIM and senescent cell antigen-like domains 2	0.6716626	
IRF5	IRF5	IRF5	interferon regulatory factor 5	0.671427	
MAST3	MAST3	MAST3	microtubule associated serine/threonine kinase 3	0.6713408	
RP11-218M22.1	RP11-218M22.1	null	null	0.6713132	
HHEX	HHEX	HHEX	homeobox, hematopoietically expressed	0.67117625	
C10orf128	C10orf128	C10ORF128	chromosome 10 open reading frame 128	0.67113286	
LSR	LSR	LSR	lipolysis stimulated lipoprotein receptor	0.67105865	
DOK1	DOK1	DOK1	docking protein 1, 62kDa (downstream of tyrosine kinase 1)	0.6708878	
ZFP3	ZFP3	ZFP3	zinc finger protein 3 homolog (mouse)	0.67004293	
MFSD8	MFSD8	null	null	0.669836	
ARHGAP4	ARHGAP4	ARHGAP4	Rho GTPase activating protein 4	0.6693608	
RNF19A	RNF19A	null	null	0.6692327	
FABP5P1	FABP5P1	FABP5P1	fatty acid binding protein 5, pseudogene 1	0.66909367	
EPC1	EPC1	EPC1	enhancer of polycomb homolog 1 (Drosophila)	0.6690516	
FGD5	FGD5	FGD5	FYVE, RhoGEF and PH domain containing 5	0.66798383	
FAM124B	FAM124B	FAM124B	family with sequence similarity 124B	0.66792536	
CYSLTR1	CYSLTR1	CYSLTR1	cysteinyl leukotriene receptor 1	0.66763014	
TMEM255B	TMEM255B	null	null	0.66714805	
RP11-378A13.1	RP11-378A13.1	null	null	0.6668913	
SYK	SYK	SYK	spleen tyrosine kinase	0.66674143	
AKAP13	AKAP13	AKAP13	A kinase (PRKA) anchor protein 13	0.6663671	
TRBC2	TRBC2	TRBC2	T cell receptor beta constant 2	0.6662125	
DOCK11	DOCK11	DOCK11	dedicator of cytokinesis 11	0.6661283	
CYTH4	CYTH4	null	null	0.66609174	
RP11-356I2.4	RP11-356I2.4	null	null	0.66573757	
AP5Z1	AP5Z1	null	null	0.6655264	
IL18	IL18	IL18	interleukin 18 (interferon-gamma-inducing factor)	0.6654407	
COL14A1	COL14A1	COL14A1	collagen, type XIV, alpha 1 (undulin)	0.66502297	
RP11-799D4.4	RP11-799D4.4	null	null	0.6647695	
TMC8	TMC8	TMC8	transmembrane channel-like 8	0.6644229	
NTRK2	NTRK2	NTRK2	neurotrophic tyrosine kinase, receptor, type 2	0.66440755	
GAK	GAK	GAK	cyclin G associated kinase	0.66385365	
HDAC9	HDAC9	HDAC9	histone deacetylase 9	0.6635571	
ARHGAP30	ARHGAP30	ARHGAP30	Rho GTPase activating protein 30	0.66286993	
CFLAR	CFLAR	CFLAR	CASP8 and FADD-like apoptosis regulator	0.66286206	
ERMAP	ERMAP	ERMAP	erythroblast membrane-associated protein (Scianna blood group)	0.6620913	
FMOD	FMOD	FMOD	fibromodulin	0.6616549	
FAIM3	FAIM3	FAIM3	Fas apoptotic inhibitory molecule 3	0.66161454	
FABP5P7	FABP5P7	null	null	0.6607944	
SLIT3	SLIT3	SLIT3	slit homolog 3 (Drosophila)	0.66071475	
CD3E	CD3E	CD3E	CD3e molecule, epsilon (CD3-TCR complex)	0.6607139	
RINL	RINL	null	null	0.6605072	
TRADD	TRADD	TRADD	TNFRSF1A-associated via death domain	0.66001385	
CX3CL1	CX3CL1	CX3CL1	chemokine (C-X3-C motif) ligand 1	0.65888983	
ARHGAP9	ARHGAP9	ARHGAP9	Rho GTPase activating protein 9	0.6581449	
DOCK2	DOCK2	DOCK2	dedicator of cytokinesis 2	0.65797776	
PCED1B-AS1	PCED1B-AS1	null	null	0.6573455	
RASAL3	RASAL3	null	null	0.6572251	
RP11-297D21.4	RP11-297D21.4	null	null	0.6570543	
MEF2BNB-MEF2B	MEF2BNB-MEF2B	null	null	0.65646464	
ALS2CL	ALS2CL	ALS2CL	ALS2 C-terminal like	0.65638715	
GIMAP6	GIMAP6	GIMAP6	GTPase, IMAP family member 6	0.6557231	
FGR	FGR	FGR	Gardner-Rasheed feline sarcoma viral (v-fgr) oncogene homolog	0.65555733	
FILIP1L	FILIP1L	null	null	0.65539885	
LY75	LY75	LY75	lymphocyte antigen 75	0.65515864	
RP11-658F2.8	RP11-658F2.8	null	null	0.65495336	
PHYKPL	PHYKPL	null	null	0.65452474	
MNDA	MNDA	MNDA	myeloid cell nuclear differentiation antigen	0.6534748	
LHPP	LHPP	LHPP	-	0.6533454	
EMB	EMB	EMB	embigin homolog (mouse)	0.65165126	
BTK	BTK	BTK	Bruton agammaglobulinemia tyrosine kinase	0.6510023	
SNAI3-AS1	SNAI3-AS1	null	null	0.6509547	
CLSTN3	CLSTN3	CLSTN3	calsyntenin 3	0.6508639	
SDHAF1	SDHAF1	null	null	0.65060896	
DOK2	DOK2	DOK2	docking protein 2, 56kDa	0.6503186	
PVRIG	PVRIG	PVRIG	poliovirus receptor related immunoglobulin domain containing	0.6500458	
CTD-2538C1.2	CTD-2538C1.2	null	null	0.6496314	
DYSF	DYSF	DYSF	dysferlin, limb girdle muscular dystrophy 2B (autosomal recessive)	0.6496199	
ITGB4	ITGB4	ITGB4	integrin, beta 4	0.6494713	
RASA4DP	RASA4DP	null	null	0.6492874	
FCGR2B	FCGR2B	FCGR2B	Fc fragment of IgG, low affinity IIb, receptor (CD32)	0.64897233	
GVINP1	GVINP1	null	null	0.6486502	
CLK1	CLK1	CLK1	CDC-like kinase 1	0.6480925	
ABCC9	ABCC9	ABCC9	ATP-binding cassette, sub-family C (CFTR/MRP), member 9	0.64778894	
AIP	AIP	AIP	aryl hydrocarbon receptor interacting protein	0.64760697	
GPR35	GPR35	GPR35	G protein-coupled receptor 35	0.647333	
ACP5	ACP5	ACP5	acid phosphatase 5, tartrate resistant	0.64726496	
PTPRCAP	PTPRCAP	PTPRCAP	protein tyrosine phosphatase, receptor type, C-associated protein	0.6471739	
LYL1	LYL1	LYL1	lymphoblastic leukemia derived sequence 1	0.6466305	
ALOX5	ALOX5	ALOX5	arachidonate 5-lipoxygenase	0.64659727	
TBC1D10C	TBC1D10C	TBC1D10C	TBC1 domain family, member 10C	0.6464571	
THADA	THADA	THADA	thyroid adenoma associated	0.64644784	
IRF8	IRF8	IRF8	interferon regulatory factor 8	0.6464029	
TRAC	TRAC	TRAC	T cell receptor alpha constant	0.64629936	
C8orf44	C8orf44	C8ORF44	chromosome 8 open reading frame 44	0.6462742	
CAPS	CAPS	CAPS	calcyphosine	0.64597434	
SYNE2	SYNE2	SYNE2	spectrin repeat containing, nuclear envelope 2	0.64589083	
MYO1G	MYO1G	MYO1G	myosin IG	0.64544076	
CYTH1	CYTH1	null	null	0.6449361	
GIMAP7	GIMAP7	GIMAP7	GTPase, IMAP family member 7	0.64491445	
SUSD1	SUSD1	SUSD1	sushi domain containing 1	0.6448084	
TXNDC11	TXNDC11	TXNDC11	thioredoxin domain containing 11	0.64402765	
SLC12A7	SLC12A7	SLC12A7	solute carrier family 12 (potassium/chloride transporters), member 7	0.6439125	
LENG8	LENG8	LENG8	leukocyte receptor cluster (LRC) member 8	0.64362156	
FHOD1	FHOD1	FHOD1	formin homology 2 domain containing 1	0.64321125	
MAN1C1	MAN1C1	MAN1C1	mannosidase, alpha, class 1C, member 1	0.6428914	
LTB	LTB	LTB	lymphotoxin beta (TNF superfamily, member 3)	0.64265084	
AC007283.5	AC007283.5	null	null	0.6426377	
PTPN6	PTPN6	PTPN6	protein tyrosine phosphatase, non-receptor type 6	0.64251655	
TMSB4XP8	TMSB4XP8	null	null	0.6421924	
